<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.04.11	1.30674	1.31380	1.30434	1.31067	83868	0	8
2013.04.12	1.31068	1.31260	1.30362	1.31119	96059	0	8
2013.04.14	1.31128	1.31145	1.31074	1.31080	256	0	10
2013.04.15	1.31059	1.31098	1.30212	1.30460	116554	0	8
2013.04.16	1.30459	1.32013	1.30279	1.31789	121761	0	8
2013.04.17	1.31779	1.31992	1.30010	1.30359	125928	0	8
2013.04.18	1.30360	1.30959	1.30206	1.30512	106100	0	8
2013.04.19	1.30499	1.31283	1.30463	1.30496	93641	0	8
2013.04.21	1.30789	1.30789	1.30649	1.30693	992	0	11
2013.04.22	1.30693	1.30836	1.30149	1.30612	75810	0	8
2013.04.23	1.30612	1.30835	1.29725	1.30006	95828	0	8
2013.04.24	1.30006	1.30340	1.29539	1.30108	85070	0	8
2013.04.25	1.30120	1.30934	1.29883	1.30086	90818	0	8
2013.04.26	1.30086	1.30472	1.29901	1.30283	92727	0	8
2013.04.28	1.30462	1.30669	1.30452	1.30584	1315	0	13
2013.04.29	1.30581	1.31160	1.30316	1.30928	74028	0	8
2013.04.30	1.30925	1.31857	1.30535	1.31657	88340	0	8
2013.05.01	1.31657	1.32424	1.31601	1.31833	88266	0	8
2013.05.02	1.31832	1.32180	1.30368	1.30618	112446	0	8
2013.05.03	1.30617	1.31592	1.30327	1.31122	95449	0	8
2013.05.05	1.31168	1.31241	1.31104	1.31174	474	0	50
2013.05.06	1.31173	1.31406	1.30531	1.30729	47976	0	50
2013.05.07	1.30726	1.31314	1.30674	1.30779	59895	0	50
2013.05.08	1.30780	1.31938	1.30711	1.31583	71046	0	50
2013.05.09	1.31586	1.31767	1.30096	1.30448	72937	0	50
2013.05.10	1.30441	1.30503	1.29349	1.29874	103274	0	50
2013.05.12	1.29680	1.29780	1.29670	1.29775	579	0	50
2013.05.13	1.29775	1.29997	1.29410	1.29816	91658	0	1
2013.05.14	1.29816	1.30291	1.29123	1.29313	138459	0	3
2013.05.15	1.29308	1.29424	1.28431	1.28802	140740	0	2
2013.05.16	1.28807	1.29295	1.28463	1.28833	130717	0	1
2013.05.17	1.28837	1.28896	1.27965	1.28365	118892	0	3
2013.05.19	1.28425	1.28484	1.28352	1.28451	1761	0	11
2013.05.20	1.28451	1.29007	1.28193	1.28836	95288	0	2
2013.05.21	1.28835	1.29334	1.28406	1.29055	83112	0	9
2013.05.22	1.29056	1.29977	1.28332	1.28524	89284	0	1
