<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.14	64653	66393	64653	66201	344157	6502931957	0
2009.10.15	66199	66703	65837	66703	213507	4184931832	0
2009.10.16	66703	66703	65499	66200	230021	4496986437	0
2009.10.19	66200	67530	66194	67239	192927	4474043132	0
2009.10.20	67231	67231	64076	65303	336954	6802284619	0
2009.10.21	65302	67157	65221	65486	234736	5278219143	0
2009.10.22	65490	66502	65454	66135	184492	3813172534	0
2009.10.23	66144	66982	64988	65059	230502	4254607446	0
2009.10.26	65054	65901	64501	65086	192843	3818539065	0
2009.10.27	65090	65498	63161	63161	246507	4387119082	0
2009.10.28	63161	63173	60146	60162	341740	6432585180	0
2009.10.29	60167	63907	60167	63721	255247	5195148566	0
2009.10.30	63721	64226	60913	61519	307228	4831531601	0
2009.11.03	61539	63237	60724	62643	252187	4750612786	0
2009.11.04	62650	64142	62650	63913	229182	4311014320	0
2009.11.05	63907	64830	63700	64816	214027	3761763701	0
2009.11.06	64820	65094	63587	64466	187524	4205487446	0
2009.11.09	64475	66236	64475	66214	225706	4328854967	0
2009.11.10	66214	66709	65706	66303	239120	4419488576	0
2009.11.11	66303	67170	66028	66431	218211	4717440988	0
2009.11.12	66427	66614	64319	64448	247493	5294807354	0
2009.11.13	64452	65788	64229	65326	240547	5094101604	0
2009.11.16	65326	66896	65326	66627	211506	4893448492	0
2009.11.17	66632	67409	66232	67406	219203	4858367477	0
2009.11.18	67430	68060	66494	66516	223762	4377621414	0
2009.11.19	66514	66564	65547	66323	182107	3910237888	0
2009.11.23	66335	67365	66335	66809	208792	3559407393	0
2009.11.24	66812	67317	65969	67317	187513	3844447470	0
2009.11.25	67319	67997	67241	67917	183676	4037204634	0
2009.11.26	67911	67911	66236	66392	156553	2685513990	0
2009.11.27	66371	67086	65737	67070	159977	3245370172	0
2009.11.30	67082	67545	66876	67044	227683	5658671657	0
2009.12.01	67051	68757	67051	68408	266294	5335114023	0
2009.12.02	68412	69139	68412	68615	210771	4544124302	0
2009.12.03	68622	69336	68308	68315	206225	4282407166	0
2009.12.04	68316	69361	67328	67604	231809	5124364206	0
2009.12.07	67611	68866	67611	68512	194333	4150801884	0
2009.12.08	68511	68511	67470	67729	192420	4224933020	0
2009.12.09	67736	68272	67484	68012	191121	3948911071	0
2009.12.10	68021	68912	68021	68728	174223	4449984470	0
2009.12.11	68750	69502	68750	69267	184537	4091728773	0
2009.12.14	69273	69785	69193	69349	174467	3506597618	0
2009.12.15	69345	69515	68822	69311	144306	3200767994	0
2009.12.16	69310	69622	68466	68622	212723	4080385597	0
2009.12.17	68619	68619	66792	67068	225543	5062076631	0
2009.12.18	67068	67281	66322	66794	192617	4172584149	0
2009.12.21	66806	67671	65925	65925	185865	3995929366	0
2009.12.22	65940	67418	65940	67418	208233	3791291008	0
2009.12.23	67418	67810	66943	67589	164479	2774712872	0
2009.12.28	67591	68277	67591	67902	106648	2060447007	0
2009.12.29	67902	68309	67902	68296	105108	1833906944	0
2009.12.30	68277	68588	67749	68588	152632	3302830600	0
2010.01.04	68587	70081	68587	70045	206093	4090042029	0
2010.01.05	70046	70595	69928	70240	248563	5292203902	0
2010.01.06	70237	70937	70016	70729	246685	5389765539	0
2010.01.07	70723	70723	70045	70451	232050	4450266724	0
2010.01.08	70455	70766	70158	70263	211826	4378980631	0
2010.01.11	70267	71068	70158	70433	232257	4149302057	0
2010.01.12	70429	70429	69284	70076	223019	4275257700	0
2010.01.13	70081	70626	69535	70385	238085	4933125314	0
2010.01.14	70377	70508	69661	69801	249850	5000249290	0
2010.01.15	69780	69788	68695	68978	227747	4764893140	0
2010.01.18	68983	69748	68983	69401	127384	3215670876	0
2010.01.19	69396	70036	68867	69909	202246	3905068438	0
2010.01.20	69901	69901	67546	68200	260594	5131565227	0
2010.01.21	68200	68458	65996	66270	285752	5883718595	0
2010.01.22	66264	66660	65445	66220	252971	5539958555	0
2010.01.26	66213	66213	64719	65524	254797	5089672261	0
2010.01.27	65527	65663	64553	65070	251029	4719341706	0
2010.01.28	65071	66049	64541	65588	191670	4293152004	0
2010.01.29	65591	66576	65140	65402	211004	4863570452	0
2010.02.01	65402	66763	65362	66572	208612	4333703889	0
2010.02.02	66589	67321	66539	67163	208723	4111731719	0
2010.02.03	67163	67347	66774	67109	211813	4455722343	0
2010.02.04	67100	67100	63750	63934	267367	5750428561	0
2010.02.05	63934	64001	61341	62763	332625	6867595054	0
2010.02.08	62760	63923	62728	63153	260468	4574641431	0
2010.02.09	63164	65526	63164	64718	281381	5783735540	0
2010.02.10	64721	65170	64320	65051	202752	4268744987	0
2010.02.11	65050	66145	64344	66129	245055	5497595996	0
2010.02.12	66129	66129	64965	65855	208460	3986481824	0
2010.02.17	65863	67542	65863	67285	237709	4201036643	0
2010.02.18	67285	67836	66550	67836	187080	4134625057	0
2010.02.19	67811	67935	67210	67597	367325	3644909088	0
2010.02.22	67598	68120	67035	67184	455919	4080098518	0
2010.02.23	67179	67179	65660	66108	228886	4473347282	0
2010.02.24	66110	66514	65534	65795	184972	3847689353	0
2010.02.25	65765	66325	64429	66121	234817	4701898196	0
2010.02.26	66118	66510	65607	66503	223020	4920618961	0
2010.03.01	66511	67397	66511	67228	194182	3842088584	0
2010.03.02	67228	68250	67228	67779	213331	5132632984	0
2010.03.03	67780	68813	67482	67645	268017	5792935704	0
2010.03.04	67643	68198	66924	67815	186497	4137864383	0
2010.03.05	67823	68930	67823	68847	221307	5728479717	0
2010.03.08	68851	69070	68318	68575	205866	4550520596	0
2010.03.09	68573	70144	68255	69576	288624	7831867957	0
2010.03.10	69578	70476	69578	69979	230611	5927355326	0
2010.03.11	69981	70183	69411	69885	186731	4532293965	0
2010.03.12	69901	70486	69341	69341	200544	4191899960	0
2010.03.15	69340	69384	68623	69024	180026	3989378358	0
2010.03.16	69023	69949	69022	69942	180189	3697763723	0
2010.03.17	69945	70424	69376	69723	201022	3783681086	0
2010.03.18	69726	70128	68972	69697	211559	4315117000	0
2010.03.19	69701	69998	68773	68829	204825	4915379941	0
2010.03.22	68814	69121	67899	69042	173346	3629601822	0
2010.03.23	69049	69613	68913	69387	207536	4548105336	0
2010.03.24	69382	69677	68744	68913	214049	4293786041	0
2010.03.25	68916	69572	68377	68438	220327	4168680118	0
2010.03.26	68442	68910	68024	68683	224505	4487462000	0
2010.03.29	68681	69943	68681	69939	195525	4219143575	0
2010.03.30	69942	70451	69750	69960	201814	4073166802	0
2010.03.31	69960	70392	69573	70372	254318	4897104628	0
2010.04.01	70375	71401	70373	71136	218633	4438630631	0
2010.04.05	71148	71645	71148	71290	170481	3752079060	0
2010.04.06	71290	71711	70823	71096	233154	4715421074	0
2010.04.07	71092	71257	70531	70793	232878	4761810522	0
2010.04.08	70793	71805	70462	71785	236102	5097362119	0
2010.04.09	71783	71989	71307	71417	233611	4471256545	0
2010.04.12	71414	71607	70505	70614	191815	4389015831	0
2010.04.13	70618	71053	70169	70792	242690	4332906308	0
2010.04.14	70794	71207	70628	71035	253169	5350203976	0
2010.04.15	71036	71066	70429	70524	252839	7110272652	0
2010.04.16	70522	70522	69013	69421	247104	6227753785	0
2010.04.19	69418	69431	68378	69098	256532	4945661383	0
2010.04.20	69101	69702	69101	69318	232416	4638034936	0
2010.04.22	69313	69528	68081	69386	265133	4993685844	0
2010.04.23	69388	69709	68832	69509	204271	3890963949	0
2010.04.26	69509	69810	68813	68872	161665	3279608812	0
2010.04.27	68868	68868	66499	66511	284733	5766574393	0
2010.04.28	66513	67253	65914	66656	266669	5243477160	0
2010.04.29	66661	68012	66661	67978	215409	4224142320	0
2010.04.30	67975	67975	67243	67530	257257	5480300374	0
2010.05.03	67534	67969	66723	67119	263223	5089895402	0
2010.05.04	67116	67116	64588	64869	385916	8090537350	0
2010.05.05	64859	65612	63533	64914	327271	6293838120	0
2010.05.06	64915	65533	60774	63414	421791	7791131764	0
2010.05.07	63416	63945	61663	62871	394093	6408654849	0
2010.05.10	62872	66083	62872	65453	306888	5419650418	0
2010.05.11	65449	65733	64425	64425	265074	4880472133	0
2010.05.12	64438	65351	64438	65224	227379	4376368013	0
2010.05.13	65223	65427	64738	64788	238277	4157194019	0
2010.05.14	64787	64787	63050	63412	279789	5276342578	0
2010.05.17	63406	63593	61825	62866	306497	5717769373	0
2010.05.18	62871	63529	60810	60841	352510	5703822993	0
2010.05.19	60841	60850	59068	59689	380521	6642633018	0
2010.05.20	59684	59684	57634	58192	386794	6483802328	0
2010.05.21	58192	60303	57997	60259	345026	5455966036	0
2010.05.24	60255	60850	59815	59915	244273	3669807042	0
2010.05.25	59912	59912	57876	59184	329534	5689548568	0
2010.05.26	59182	60701	59179	60190	375648	7752133705	0
2010.05.27	60191	62262	60189	62092	278574	5443866128	0
2010.05.28	62080	62247	61305	61947	256609	4961759551	0
2010.05.31	61950	63047	61950	63047	140601	3126842826	0
2010.06.01	63033	63033	61605	61841	265902	4537982335	0
2010.06.02	61836	63198	61814	62943	239370	3702442979	0
2010.06.04	62940	62940	61422	61676	289388	4281526841	0
2010.06.07	61675	62119	61099	61183	245894	3917285537	0
2010.06.08	61187	62000	61187	61856	248718	3811438951	0
2010.06.09	61799	62684	61479	61479	248334	4063823847	0
2010.06.10	61484	63146	61484	63049	236090	3966764489	0
2010.06.11	63044	63766	62371	63605	200579	3170397750	0
2010.06.14	63613	64296	63529	63529	232601	3367766385	0
2010.06.15	63534	64554	63534	64442	193339	2884228979	0
2010.06.16	64442	65097	63974	64751	397982	5921140741	0
2010.06.17	64745	65182	64115	64541	256798	4468319332	0
2010.06.18	64542	64941	64239	64438	227506	5158646209	0
2010.06.21	64442	65517	64442	64829	226140	4267550181	0
2010.06.22	64834	65831	64690	64811	260040	4377014390	0
2010.06.23	64812	65161	64247	65160	219780	4178688733	0
2010.06.24	65154	65154	63736	63937	262773	4092858441	0
2010.06.25	63937	64869	63806	64824	168069	2613882668	0
2010.06.28	64825	65105	64225	64225	155665	2481588521	0
2010.06.29	64216	64216	61670	61978	302510	8924130669	0
2010.06.30	61972	62645	60936	60936	301619	5107737827	0
2010.07.01	60935	61381	60056	61236	321537	5849147260	0
2010.07.02	61236	61812	60764	61430	227134	3038044433	0
2010.07.05	61436	61667	60796	60865	136632	1932983741	0
2010.07.06	60870	62451	60870	62065	276042	4431352085	0
2010.07.07	62067	63313	62004	63284	278802	4674126358	0
2010.07.08	63282	63596	62895	63476	267106	4581470101	0
2010.07.12	63477	63972	62750	62960	231444	3278454805	0
2010.07.13	62964	63777	62964	63685	252283	4049952760	0
2010.07.14	63686	63688	63015	63479	230979	3659952674	0
2010.07.15	63482	63612	62960	63489	239363	3791897696	0
2010.07.16	63487	63492	62298	62349	199133	3316720258	0
2010.07.19	62351	63300	62351	63297	189317	3231750833	0
2010.07.20	63290	64481	62902	64463	307327	6133576822	0
2010.07.21	64468	65136	64209	64477	239728	4368272519	0
2010.07.22	64504	66213	64504	65748	256330	4898396327	0
2010.07.23	65748	66323	65427	66323	225879	3714176395	0
2010.07.26	66322	66619	66151	66443	191684	2944101571	0
2010.07.27	66449	67102	66293	66674	253389	4049652762	0
2010.07.28	66670	67051	66427	66799	253256	4678760848	0
2010.07.29	66796	67428	66596	66954	258726	4460685542	0
2010.07.30	66951	67608	66218	67515	280272	5257272327	0
2010.08.02	67524	68754	67524	68533	282562	4853886602	0
2010.08.03	68517	68561	67942	67997	264116	4638195345	0
2010.08.04	67996	68534	67577	68272	260807	4847779179	0
2010.08.05	68271	68471	68002	68412	228300	3954115961	0
2010.08.06	68416	68509	67686	68095	241428	3845390986	0
2010.08.09	68096	68513	67749	67862	201795	3206092249	0
2010.08.10	67836	67836	66946	67223	257839	4220495452	0
2010.08.11	67217	67217	65690	65790	237286	4319727779	0
2010.08.12	65788	66027	65257	65966	207882	3981588582	0
2010.08.13	65964	66590	65921	66264	234326	4664889306	0
2010.08.16	66260	66868	66187	66702	219153	4000271796	0
2010.08.17	66702	67666	66702	67584	255964	4375600453	0
2010.08.18	67584	67745	67006	67638	359028	5373344484	0
2010.08.19	67641	67713	66824	66887	262107	4326774495	0
2010.08.20	66892	66892	66337	66677	198684	3430885624	0
2010.08.23	66678	67175	65982	65982	208120	3294456621	0
2010.08.24	65946	65946	65013	65156	253328	3995211667	0
2010.08.25	65156	65156	64164	64803	250097	4301320547	0
2010.08.26	64802	65271	63804	63867	276951	4396808344	0
2010.08.27	63875	65589	63862	65585	305692	4232989881	0
2010.08.30	65585	65585	64255	64261	218172	3194310161	0
2010.08.31	64262	65182	64202	65145	276874	4884916335	0
2010.09.01	65154	67073	65154	67073	319606	5988840764	0
2010.09.02	67073	67168	66405	66808	231024	4084686460	0
2010.09.03	66812	67673	66541	66679	293345	5111019169	0
2010.09.06	66679	66949	66380	66747	103265	1650497215	0
2010.09.08	66739	66739	66101	66407	281253	4713169594	0
2010.09.09	66411	66807	66353	66624	225547	3798704651	0
2010.09.10	66622	66920	66459	66807	214926	3721551871	0
2010.09.13	66807	68142	66807	68031	315598	5103146550	0
2010.09.14	68030	68093	67561	67692	305184	6463285998	0
2010.09.15	67690	68107	67119	68107	285932	5200765290	0
2010.09.16	68103	68103	67507	67663	195992	3576941130	0
2010.09.17	67665	67773	66993	67089	232855	3956329808	0
2010.09.20	67087	68241	67009	68190	248183	4553045889	0
2010.09.21	68189	68255	67528	67721	251815	4635004259	0
2010.09.22	67711	68549	67346	68325	412026	6183760735	0
2010.09.23	68321	69601	67892	68794	471533	7866013639	0
2010.09.24	68800	69571	68021	68196	401644	9171450550	0
2010.09.27	68197	68926	68011	68816	290056	5765945417	0
2010.09.28	68817	69431	68455	69228	275452	4829123516	0
2010.09.29	69225	69420	68958	69228	341097	8149027302	0
2010.09.30	69230	69737	68924	69430	326743	6395571000	0
2010.10.01	69438	70243	69228	70229	332702	5904839400	0
2010.10.04	70230	70551	70089	70385	326034	4566529514	0
2010.10.05	70390	71285	70390	71283	379895	6975019931	0
2010.10.06	71284	71290	70343	70541	400003	7294085360	0
2010.10.07	70545	70739	69314	69918	317134	6450236489	0
2010.10.08	69921	70828	69698	70809	272762	5563305613	0
2010.10.11	70810	71111	70810	70946	223630	2967019249	0
2010.10.13	70950	71995	70950	71675	578176	7464659026	0
2010.10.14	71676	71961	71264	71692	356376	7370788691	0
2010.10.15	71699	72140	71351	71830	302378	5045979466	0
2010.10.18	71830	71884	71341	71736	300961	5633387567	0
2010.10.19	71735	71735	69628	69871	353100	6143208455	0
2010.10.20	69863	70720	69814	70405	287783	5180648551	0
2010.10.21	70406	70958	68952	69652	347467	6109396020	0
2010.10.22	69658	70312	68847	69530	338533	5265500551	0
2010.10.25	69536	70231	69451	69580	254278	4442286128	0
2010.10.26	69582	70834	69055	70740	298329	5493954404	0
2010.10.27	70735	70844	70059	70569	300069	5576621687	0
2010.10.28	70573	71263	70234	70320	276350	5408156687	0
2010.10.29	70322	70776	70322	70673	300711	5436926409	0
2010.11.01	70686	71751	70673	71561	228650	3611157961	0
2010.11.03	71560	72110	71510	71905	303341	5688538948	0
2010.11.04	71910	73103	71910	72996	327284	5917497815	0
2010.11.05	72987	72987	72534	72607	253778	4584081129	0
2010.11.08	72607	72875	72336	72657	224073	4215900377	0
2010.11.09	72654	73045	71651	71679	289572	5236378631	0
2010.11.10	71674	71854	70868	71638	323231	5571048222	0
2010.11.11	71639	71639	70941	71195	295809	4561211552	0
2010.11.12	71191	71191	70004	70367	284994	4937794673	0
2010.11.16	70364	70364	68662	69192	385599	5445434754	0
2010.11.17	69189	70080	69187	69709	239200	3494564872	0
2010.11.18	69716	70904	69716	70781	279267	4787591633	0
2010.11.19	70774	70898	70236	70898	245095	3760098221	0
2010.11.22	70898	70898	69202	69633	301543	3930367300	0
2010.11.23	69629	69629	67728	67953	322063	5017526114	0
2010.11.24	67955	69746	67955	69629	279388	5008329805	0
2010.11.25	69634	69780	69362	69362	135010	1867537569	0
2010.11.26	69349	69349	68219	68226	259606	3561875549	0
2010.11.29	68218	68422	67103	67908	287351	4068307162	0
2010.11.30	67901	68476	67271	67705	387481	6688570039	0
2010.12.01	67731	69605	67731	69346	336635	4852763838	0
2010.12.02	69341	69943	69219	69529	319884	4452547907	0
2010.12.03	69529	69963	68943	69766	336831	4686137221	0
2010.12.06	69759	69932	69378	69552	239926	3450542696	0
2010.12.07	69563	70589	69338	69338	267309	4434092861	0
2010.12.08	69338	69354	68046	68175	332096	4708758384	0
2010.12.09	68173	68561	67563	67879	354713	4870825472	0
2010.12.10	67889	68514	67866	68342	314439	4162146678	0
2010.12.13	68342	69221	68342	69126	304085	4342231109	0
2010.12.14	69127	69127	68531	68743	269160	3953719659	0
2010.12.15	68741	68741	67711	67870	354555	6573172340	0
2010.12.16	67875	68377	67138	67306	340320	4800166291	0
2010.12.17	67304	67981	66948	67981	310233	4341622197	0
2010.12.20	67979	68196	67264	67264	277749	4932136339	0
2010.12.21	67261	68461	67261	68215	293073	3833959509	0
2010.12.22	68218	68471	67727	68471	243795	3560574947	0
2010.12.23	68470	68562	68250	68486	190656	2546755243	0
2010.12.27	68476	68476	67803	67803	153880	2353688445	0
2010.12.28	67810	68104	67810	68041	184990	3208841853	0
2010.12.29	68043	69040	68043	68952	221321	3437207465	0
2010.12.30	68953	69527	68940	69305	242747	4741005608	0
2011.01.03	69310	70471	69305	69962	288980	4494157215	0
2011.01.04	69962	70318	69560	70318	377896	5865102972	0
2011.01.05	70311	71173	69802	71091	319904	5637849399	0
2011.01.06	71093	71167	70469	70579	339956	5980836190	0
2011.01.07	70580	70783	69718	70057	241434	4308028156	0
2011.01.10	70056	70133	69666	70127	232923	3838405198	0
2011.01.11	70146	70647	70145	70423	269422	5131654262	0
2011.01.12	70429	71633	70429	71633	334795	6399094847	0
2011.01.13	71631	71924	70719	70721	280411	5239796331	0
2011.01.14	70723	71184	70397	70940	238811	4255626863	0
2011.01.17	70940	70940	70544	70609	189372	3885364983	0
2011.01.18	70612	71094	70612	70920	299276	4790650256	0
2011.01.19	70921	71190	69966	70058	257305	4581203902	0
2011.01.20	70056	70083	69177	69562	329882	5843999530	0
2011.01.21	69560	70027	69095	69133	257871	4448979129	0
2011.01.24	69134	69513	68786	69427	224935	3186972148	0
2011.01.26	69427	69556	68515	68709	350924	5351808178	0
2011.01.27	68717	69108	67775	68051	344845	5161473565	0
2011.01.28	68051	68182	65898	66698	388307	5969652560	0
2011.01.31	66697	67166	66271	66575	368019	5203335123	0
2011.02.01	66575	67922	66575	67847	307573	5040633653	0
2011.02.02	67844	68012	66643	66688	365340	5614510546	0
2011.02.03	66688	66849	66091	66766	310869	5120517608	0
2011.02.04	66752	66946	65160	65269	358723	5830119765	0
