<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.02.07	65272	65893	64916	65362	271302	4315552813	0
2011.02.08	65359	66238	65110	65771	377311	6067564639	0
2011.02.09	65767	65767	64016	64218	361543	5790044052	0
2011.02.10	64217	65106	64185	64578	326450	5286155399	0
2011.02.11	64582	65890	64562	65756	344185	5289259899	0
2011.02.14	65751	66743	65462	66558	317948	4306972640	0
2011.02.15	66558	66861	66117	66341	314272	5215034605	0
2011.02.16	66342	67793	66342	67571	407438	5688073155	0
2011.02.17	67580	67876	67107	67685	316754	4856807192	0
2011.02.18	67685	68226	67386	68067	333297	4443078239	0
2011.02.21	68067	68067	67085	67259	217696	3387857615	0
2011.02.22	67255	67570	66342	66440	448110	7140915263	0
2011.02.23	66440	67266	66049	66910	487925	7701752183	0
2011.02.24	66909	67344	66693	66949	419654	6555829366	0
2011.02.25	66952	67632	66331	66903	363128	5479634109	0
2011.02.28	66909	67458	66687	67383	335535	5742041096	0
2011.03.01	67381	67708	66243	66243	337707	4763496532	0
2011.03.02	66242	67282	66101	67282	318131	5451315209	0
2011.03.03	67284	68188	67284	68146	299674	5017197946	0
2011.03.04	68138	68220	67514	68012	276413	4432984943	0
2011.03.09	68010	68057	67109	67264	252326	3392583763	0
2011.03.10	67256	67256	65854	66041	349567	6014769314	0
2011.03.11	66041	67014	65559	66685	401750	5702244382	0
2011.03.14	66684	67333	66088	67169	305870	4064064004	0
2011.03.15	67168	67168	65463	67005	430990	6212286672	0
2011.03.16	67011	67502	65663	66003	449515	7063817849	0
2011.03.17	66017	66950	66015	66216	328573	4578112097	0
2011.03.18	66217	67384	66217	66880	357689	5839362265	0
2011.03.21	66887	67676	66656	66690	314251	5342896011	0
2011.03.22	66684	67631	66531	67578	342168	5551119938	0
2011.03.23	67570	67918	67317	67796	313790	4932699193	0
2011.03.24	67799	68009	67406	67533	289205	4100454836	0
2011.03.25	67528	68256	67497	67765	280716	4689531536	0
2011.03.28	67767	68070	67193	67193	273774	3503284157	0
2011.03.29	67194	67862	67046	67419	313067	4092458472	0
2011.03.30	67423	68004	67423	67997	270606	4288391263	0
2011.03.31	68000	68606	68000	68587	324825	5229408674	0
2011.04.01	68588	69387	68588	69268	373655	5387832392	0
2011.04.04	69270	69787	69270	69704	312300	4544553481	0
2011.04.05	69704	70047	69465	69838	346471	5736710314	0
2011.04.06	69841	70108	68954	69037	301717	4693560647	0
2011.04.07	69040	69334	68695	69176	314874	5013245051	0
2011.04.08	69180	69430	68472	68718	318439	4889854339	0
2011.04.11	68719	69177	68029	68164	309324	4344298930	0
2011.04.12	68153	68153	66721	66896	383799	5644636676	0
2011.04.13	66909	67411	66251	66486	433250	5562270846	0
2011.04.14	66483	67042	66090	66279	336542	5106851623	0
2011.04.15	66281	66765	65832	66684	314259	4884806062	0
2011.04.18	66689	66706	65158	65415	331773	6243447861	0
2011.04.19	65417	66257	65417	66158	312420	4470469466	0
2011.04.20	66165	67077	66165	67058	346389	5296000031	0
2011.04.25	67058	67124	66552	66972	234302	3158556954	0
2011.04.26	66972	67413	66722	67144	301837	3916592891	0
2011.04.27	67143	67228	65885	66264	355950	4842333978	0
2011.04.28	66249	66249	65105	65673	402256	6354653992	0
2011.04.29	65664	66294	65461	66133	349858	5391393119	0
2011.05.02	66119	66500	65346	65463	339717	4899779383	0
2011.05.03	65458	65468	64244	64318	326620	4833273799	0
2011.05.04	64320	64807	63548	63608	366107	5563359015	0
2011.05.05	63609	64268	62973	63407	408872	5894581970	0
2011.05.06	63422	64704	63422	64417	377720	5346754891	0
2011.05.09	64416	64782	64150	64622	297961	3983857428	0
2011.05.10	64622	65143	64619	64877	308253	4204015243	0
2011.05.11	64877	64877	63622	63776	351383	4940049681	0
2011.05.12	63772	64329	63125	64003	374264	4811405433	0
2011.05.13	64003	64165	63063	63235	402093	4975364508	0
2011.05.16	63233	63829	62676	62830	379086	4841759415	0
2011.05.17	62830	63680	62414	63673	369996	4299030454	0
2011.05.18	63675	64015	62839	62841	381238	4848530831	0
2011.05.19	62844	63607	62225	62367	354168	4367653416	0
2011.05.20	62370	63043	62086	62597	318429	4139647177	0
