<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.26	11:00:00	97631	97631	96760	96994	153067	1824579326	0
2019.08.26	12:00:00	97013	97156	96749	96947	121603	905040127	0
2019.08.26	13:00:00	96919	97115	96851	97043	119470	769373875	0
2019.08.26	14:00:00	97038	97101	96131	96131	175459	1362057722	0
2019.08.26	15:00:00	96097	96291	95961	96245	166971	1229024161	0
2019.08.26	16:00:00	96194	96430	96097	96430	222894	2535360767	0
2019.08.27	10:00:00	96434	97951	96426	97732	162841	2182015750	0
2019.08.27	11:00:00	97688	97936	97146	97526	176585	1953674380	0
2019.08.27	12:00:00	97494	97798	96764	96855	156285	1277647042	0
2019.08.27	13:00:00	96797	97165	96136	96136	204158	1724940327	0
2019.08.27	14:00:00	96023	96625	95855	96510	191444	1645363793	0
2019.08.27	15:00:00	96519	97007	96304	97007	149587	1209352062	0
2019.08.27	16:00:00	97041	97552	96979	97276	231140	6235158915	0
2019.08.28	10:00:00	97273	97595	96557	97584	142669	1739645915	0
2019.08.28	11:00:00	97667	97877	97491	97715	146696	1397737952	0
2019.08.28	12:00:00	97745	97844	97425	97626	146029	1217229736	0
2019.08.28	13:00:00	97611	98032	97424	98032	131660	998906136	0
2019.08.28	14:00:00	98002	98346	97830	98070	141095	1173611072	0
2019.08.28	15:00:00	98082	98140	97881	98066	138831	1064285727	0
2019.08.28	16:00:00	98078	98208	98025	98194	188988	2402892158	0
2019.08.29	10:00:00	98194	99249	98194	99018	160709	1885944031	0
2019.08.29	11:00:00	99056	99140	98621	98975	163729	1553002985	0
2019.08.29	12:00:00	98967	99463	98811	99333	161600	1434708462	0
2019.08.29	13:00:00	99300	99753	99144	99742	149464	1292296562	0
2019.08.29	14:00:00	99715	100138	99675	99980	164504	1285958738	0
2019.08.29	15:00:00	99970	100613	99970	100490	205883	1862943299	0
2019.08.29	16:00:00	100463	100684	100460	100524	230252	3140523038	0
2019.08.30	10:00:00	100526	101551	100526	101273	165194	2356674570	0
2019.08.30	11:00:00	101224	101550	101028	101550	151137	1834396346	0
2019.08.30	12:00:00	101501	101501	100808	101110	149018	1575575327	0
2019.08.30	13:00:00	101134	101242	100795	100901	121299	1066534430	0
2019.08.30	14:00:00	100883	100896	100705	100807	129180	1046166504	0
2019.08.30	15:00:00	100775	101366	100775	101366	189764	1737291845	0
2019.08.30	16:00:00	101325	101421	101096	101135	200242	6204352432	0
2019.09.02	10:00:00	101133	101528	100921	100925	101958	1335816997	0
2019.09.02	11:00:00	101005	101611	101005	101468	112296	983714965	0
2019.09.02	12:00:00	101514	101514	101100	101118	90345	700370625	0
2019.09.02	13:00:00	101182	101235	101044	101093	86653	597712428	0
2019.09.02	14:00:00	101081	101209	100919	101139	104033	744098238	0
2019.09.02	15:00:00	101156	101316	100683	100787	119567	886148618	0
2019.09.02	16:00:00	100806	100882	100626	100626	138158	1790750992	0
2019.09.03	10:00:00	100626	101417	100293	101324	129709	1616294923	0
2019.09.03	11:00:00	101308	101308	99930	100305	166854	1737174227	0
2019.09.03	12:00:00	100320	100320	99792	99839	138888	1122173060	0
2019.09.03	13:00:00	99805	100020	99698	99926	107006	799876279	0
2019.09.03	14:00:00	99890	100076	99782	99809	112780	962322294	0
2019.09.03	15:00:00	99854	100253	99618	99631	163394	1477016474	0
2019.09.03	16:00:00	99630	99887	99406	99681	245646	3195341788	0
